spot_number,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,unique_zone,number_of_times_occupied,number_of_unique_cars,spot_type
0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1Right,0,0,Resident Only
1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1Right,0,0,Resident Only
2,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,1Right,2,1,Resident Only
3,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,1Right,5,2,Resident Only
4,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,1Right,5,2,Resident Only
5,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,1Right,3,3,Resident Only
6,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,1Right,3,2,Resident Only
7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
8,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,1,1,Resident Only
9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
10,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
11,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
12,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
13,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
14,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,2Right,1,1,Resident Only
15,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
16,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
17,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
18,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
19,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
20,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
21,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,2Right,6,2,Resident Only
22,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,2Right,1,1,Resident Only
23,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,2Right,3,1,Resident Only
24,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
25,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Right,0,0,Resident Only
26,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,2Right,3,2,Resident Only
27,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,2Right,4,1,Resident Only
28,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,2Right,3,2,Resident Only
29,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,3aRight,11,4,Resident Only
30,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3aRight,15,1,Resident Only
31,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,3aRight,13,3,Resident Only
32,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3aRight,0,0,Resident Only
33,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,3aRight,10,3,Resident Only
34,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,3aRight,4,3,Resident Only
35,true,true,true,false,false,false,true,true,true,true,true,false,true,true,true,3aRight,11,4,Resident Only
36,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,3aRight,14,1,Resident Only
37,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,3aRight,12,1,Resident Only
38,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,3aRight,14,2,Resident Only
39,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,3aRight,7,3,Resident Only
40,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,3aRight,3,2,Resident Only
41,true,true,false,false,true,true,true,true,true,true,false,false,false,false,false,3aRight,8,3,Resident Only
42,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,3aRight,12,3,Resident Only
43,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,3aRight,14,3,Resident Only
44,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3aRight,15,1,Resident Only
45,false,true,true,true,true,true,true,true,false,false,false,false,false,true,false,3aRight,8,3,Resident Only
46,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,3aRight,5,2,Resident Only
47,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3aRight,14,2,Resident Only
48,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,3aRight,4,1,Resident Only
49,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,3aRight,13,2,Resident Only
50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3aRight,15,1,Resident Only
51,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,3aRight,11,4,Resident Only
52,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3aRight,0,0,Resident Only
